flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,fwd_bytes,bwd_bytes,app,sni,domain,pkt_min,pkt_max,pkt_avg,pkt_variance,pkt_stddev,tcp_retransmissions,tcp_out_of_order,tcp_rst_count,tcp_fin_count,tcp_conn_state,tcp_handshake_ok,threat,severity,evidence
1,"127.0.0.1","127.0.0.1",15141,22,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
2,"127.0.0.1","127.0.0.1",15141,23,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
3,"127.0.0.1","127.0.0.1",15141,3306,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
4,"127.0.0.1","127.0.0.1",15141,443,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
5,"127.0.0.1","127.0.0.1",15141,5432,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
6,"127.0.0.1","127.0.0.1",15141,6379,"TCP",3,162,0,"Unknown","","",54,54,54.00,0.00,0.00,2,2,0,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
7,"127.0.0.1","127.0.0.1",15141,80,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
8,"127.0.0.1","127.0.0.1",15141,8080,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
9,"127.0.0.1","127.0.0.1",15141,8443,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
10,"127.0.0.1","127.0.0.1",15141,9200,"TCP",6,162,162,"Unknown","","",54,54,54.00,0.00,0.00,3,3,3,3,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","SUSPICIOUS","FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO | FIN count=1 | SYN count=0 | Handshake completed: NO"
